Text,link,AnalyzedTextWithoutHttp,hashtag,AnalyzedTextWithoutHttpHashtag,user_mentioned,AnalyzedTextWithoutHttpHashtagUserName,AnalyzedTextWithoutHttpHashtagUserNameNonAlpha,AnalyzedText,positive,negative,neutral,compound,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"Yesterday I found new purpose in tomorrow. Today, I’m stronger.
",,"Yesterday I found new purpose in tomorrow. Today, I’m stronger.",,"Yesterday I found new purpose in tomorrow. Today, I’m stronger.",,"Yesterday I found new purpose in tomorrow. Today, I’m stronger.",Yesterday I found new purpose in,Yesterday found new purpose,0.0,0.0,1.0,0.0,0,0,0.5937,"find, way, want, mean, team, game, dream, watch, break, think","['yesterday', 'find', 'new', 'purpose']"
"The Nike LunarGlide+ 4 Chicago edition. Built to go the distance. Designed in collaboration with the windy city's own Cody Hudson. Available at select Chicago locations. #nike #running #marathon
",,The Nike LunarGlide+ 4 Chicago edition. Built to go the distance. Designed in collaboration with the windy city's own Cody Hudson. Available at select Chicago locations. #nike #running #marathon,#nike #running #marathon,The Nike LunarGlide+ 4 Chicago edition. Built to go the distance. Designed in collaboration with the windy city's own Cody Hudson. Available at select Chicago locations.,,The Nike LunarGlide+ 4 Chicago edition. Built to go the distance. Designed in collaboration with the windy city's own Cody Hudson. Available at select Chicago locations.,The Nike Chicago Built to go the Designed in collaboration with the windy own Cody Available at select Chicago,Nike Chicago Built go Designed collaboration windy Cody Available select Chicago,0.0,0.0,1.0,0.0,1,2,0.673,"get, time, know, play, see, day, big, share, future, street","['build', 'go', 'design', 'collaboration', 'windy', 'cody', 'available', 'select']"
"Outside is where you find what's inside. #justdoit
",,Outside is where you find what's inside. #justdoit,#justdoit,Outside is where you find what's inside.,,Outside is where you find what's inside.,Outside is where you find,Outside find,0.0,0.0,1.0,0.0,2,1,0.3471,"take, run, first, step, come, stop, start, push, next, year","['outside', 'find']"
"Morning runs. Lunch runs. After-work runs. Five-minute runs. Tempo runs. Long distance slow runs. Hangover runs. Too cold to run. Too hot to run. Stress runs. Feel-good runs. Don’t-wanna-run runs. Need-this-run runs. Because when consistency is 🔑, it helps to lace up in comfort that keeps you coming back for more.
",,"Morning runs. Lunch runs. After-work runs. Five-minute runs. Tempo runs. Long distance slow runs. Hangover runs. Too cold to run. Too hot to run. Stress runs. Feel-good runs. Don’t-wanna-run runs. Need-this-run runs. Because when consistency is 🔑, it helps to lace up in comfort that keeps you coming back for more.",,"Morning runs. Lunch runs. After-work runs. Five-minute runs. Tempo runs. Long distance slow runs. Hangover runs. Too cold to run. Too hot to run. Stress runs. Feel-good runs. Don’t-wanna-run runs. Need-this-run runs. Because when consistency is 🔑, it helps to lace up in comfort that keeps you coming back for more.",,"Morning runs. Lunch runs. After-work runs. Five-minute runs. Tempo runs. Long distance slow runs. Hangover runs. Too cold to run. Too hot to run. Stress runs. Feel-good runs. Don’t-wanna-run runs. Need-this-run runs. Because when consistency is 🔑, it helps to lace up in comfort that keeps you coming back for more.",Morning Lunch Tempo Long distance slow Hangover Too cold to Too hot to Stress Because when consistency is it helps to lace up in comfort that keeps you coming back for,Morning Lunch Tempo Long distance slow Hangover cold hot Stress consistency helps lace comfort keeps coming back,0.233,0.128,0.639,0.3182,3,1,0.6754,"take, run, first, step, come, stop, start, push, next, year","['morning', 'lunch', 'long', 'distance', 'slow', 'hangover', 'cold', 'hot', 'stress', 'consistency', 'help', 'keep', 'come', 'back']"
"Drying the court. #counts. The #sxsw 8-foot dunk contest is on in Austin! 2:30pm Nike Lot. 4th & Colorado
",,Drying the court. #counts. The #sxsw 8-foot dunk contest is on in Austin! 2:30pm Nike Lot. 4th & Colorado,#counts. #sxsw,Drying the court. The 8-foot dunk contest is on in Austin! 2:30pm Nike Lot. 4th & Colorado,,Drying the court. The 8-foot dunk contest is on in Austin! 2:30pm Nike Lot. 4th & Colorado,Drying the The dunk contest is on in Nike Colorado,Drying dunk contest Nike Colorado,0.0,0.0,1.0,0.0,4,4,0.5639,"good, feel, thing, look, athlete, new, nike, go, second, football","['dry', 'dunk', 'contest']"
"You don't get here by playing it safe. #Federer
",,You don't get here by playing it safe. #Federer,#Federer,You don't get here by playing it safe.,,You don't get here by playing it safe.,You get here by playing it,get playing,0.643,0.0,0.357,0.2023,5,2,0.4028,"get, time, know, play, see, day, big, share, future, street",['play']
"What’s more terrifying? A multi-time champion who has done it all and can’t be fazed, or a brilliant striker whose superior skill is about to go on display?
",,"What’s more terrifying? A multi-time champion who has done it all and can’t be fazed, or a brilliant striker whose superior skill is about to go on display?",,"What’s more terrifying? A multi-time champion who has done it all and can’t be fazed, or a brilliant striker whose superior skill is about to go on display?",,"What’s more terrifying? A multi-time champion who has done it all and can’t be fazed, or a brilliant striker whose superior skill is about to go on display?",more A champion who has done it all and be or a brilliant striker whose superior skill is about to go on,champion done brilliant striker whose superior skill go,0.691,0.0,0.309,0.9042,6,1,0.5599,"take, run, first, step, come, stop, start, push, next, year","['champion', 'do', 'brilliant', 'striker', 'superior', 'skill', 'go']"
"25,000 strong, the Nike Women's Marathon is getting ready to run San Francisco. Benefiting the Leukemia and Lymphoma Society, the largest women's marathon in the world runs forward to give back. Follow along all weekend as we take you through this special race and all it has to offer. 9 years in, there's always more to do and further to run. #nike #running #marathon #runnwm
",,"25,000 strong, the Nike Women's Marathon is getting ready to run San Francisco. Benefiting the Leukemia and Lymphoma Society, the largest women's marathon in the world runs forward to give back. Follow along all weekend as we take you through this special race and all it has to offer. 9 years in, there's always more to do and further to run. #nike #running #marathon #runnwm",#nike #running #marathon #runnwm,"25,000 strong, the Nike Women's Marathon is getting ready to run San Francisco. Benefiting the Leukemia and Lymphoma Society, the largest women's marathon in the world runs forward to give back. Follow along all weekend as we take you through this special race and all it has to offer. 9 years in, there's always more to do and further to run.",,"25,000 strong, the Nike Women's Marathon is getting ready to run San Francisco. Benefiting the Leukemia and Lymphoma Society, the largest women's marathon in the world runs forward to give back. Follow along all weekend as we take you through this special race and all it has to offer. 9 years in, there's always more to do and further to run.",the Nike Marathon is getting ready to run San Benefiting the Leukemia and Lymphoma the largest marathon in the world runs forward to give Follow along all weekend as we take you through this special race and all it has to years always more to do and further to,Nike Marathon getting ready run San Benefiting Leukemia Lymphoma largest marathon world runs forward give Follow along weekend take special race years always,0.198,0.0,0.802,0.6369,7,1,0.6701,"take, run, first, step, come, stop, start, push, next, year","['get', 'ready', 'run', 'benefit', 'leukemia', 'lymphoma', 'large', 'marathon', 'world', 'run', 'forward', 'give', 'follow', 'weekend', 'take', 'special', 'race', 'year', 'always']"
"Never Done creating space ✨
",,Never Done creating space ✨,,Never Done creating space ✨,,Never Done creating space ✨,Never Done creating space,Never Done creating space,0.0,0.386,0.614,-0.2235,8,3,0.6379,"never, make, world, always, even, do, love, give, stay, well","['never', 'do', 'create', 'space']"
"If you pull up, you better be laced up.  Look no further than New York’s very own @hgnext basketball crew rocking the G.T. Cut 2 and Cosmic Unity 3 for some on-court inspo. 
",,"If you pull up, you better be laced up. Look no further than New York’s very own @hgnext basketball crew rocking the G.T. Cut 2 and Cosmic Unity 3 for some on-court inspo.",,"If you pull up, you better be laced up. Look no further than New York’s very own @hgnext basketball crew rocking the G.T. Cut 2 and Cosmic Unity 3 for some on-court inspo.",@hgnext,"If you pull up, you better be laced up. Look no further than New York’s very own basketball crew rocking the G.T. Cut 2 and Cosmic Unity 3 for some on-court inspo.",If you pull you better be laced Look no further than New very own basketball crew rocking the Cut and Cosmic Unity for some,pull better laced Look New basketball crew rocking Cut Cosmic Unity,0.207,0.15,0.643,0.2023,9,0,0.6448,"find, way, want, mean, team, game, dream, watch, break, think","['pull', 'well', 'laced', 'look', 'new', 'basketball', 'crew', 'rock', 'cut', 'cosmic', 'unity']"
